"","Name","System","RT","Pubchem"
"1096","gentiobiose","MTBLS38",1.729429138,5460026
"1097","guanine","MTBLS38",2.954964417,764
"1098","L-alanyl-L-alanine","MTBLS38",1.62302365,6992372
"1099","uridine","MTBLS38",5.665553308,6029
"1100","vanillic acid","MTBLS38",9.274154025,8468
"1101","vanillin","MTBLS38",9.531687943,1183
"1102","cyanidin-(coumaroyl)-3-O glucoside, trans isomer","MTBLS39",27.58450808,NA
"1103","delfinidin-(coumaroyl)-3-O glucoside, cis isomer","MTBLS39",22.9960399,NA
"1104","delphinidin-(acetyl)-3-O-glucoside","MTBLS39",19.38963261,NA
"1105","delphinidin-(coumaroyl)-3-O glucoside, trans isomer","MTBLS39",25.2991509,NA
"1106","malvidin-(acetyl)-3-O-glucoside","MTBLS39",25.52273675,NA
"1107","malvidin-(coumaroyl)-3-O-glucoside, cis isomer","MTBLS39",29.06512376,NA
"1108","malvidin-(coumaroyl)-3-O-glucoside, trans isomer","MTBLS39",31.95577771,NA
"1109","peonidin-(acetyl)-3-O-glucoside","MTBLS39",24.81813922,NA
"1110","peonidin-(coumaroyl)-3-O-glucoside, cis isomer","MTBLS39",28.62227494,NA
"1111","peonidin-(coumaroyl)-3-O-glucoside, trans isomer","MTBLS39",31.27734035,NA
"1112","petunidin-(coumaroyl)-3-O-glucoside, cis isomer","MTBLS39",26.93317316,NA
"1113","petunidin-(coumaroyl)-3-O-glucoside, trans isomer","MTBLS39",28.54420887,NA
"1114","cyanidin-3-O-glucoside","MTBLS39",14.4414703,441667
"1115","delfinidin-3-O-glucoside","MTBLS39",12.53230903,443650
"1116","malvidin-3-O-glucoside","MTBLS39",18.02641852,NA
"1117","peonidin-3-O-glucoside","MTBLS39",17.1697835,443654
"1118","petunidin-3-O-glucoside","MTBLS39",15.64976839,NA
"1119","dihydroquercetin-O-deoxyhexoside (astilbin)","MTBLS39",19.75582401,119258
"1120","quercetin glucuronide","MTBLS39",19.97202434,5274585
"1121","gluconic acid","MTBLS39",2.373776772,10690
"1122","citric acid","MTBLS39",3.039115341,311
"1123","malic acid","MTBLS39",2.718607767,222656
"1124","tartaric acid","MTBLS39",2.524475427,447315
"1125","glutathione","MTBLS39",3.044537447,124886
"1126","tryptophan-N-glucoside","MTBLS39",15.81713311,73095692
"1127","catechin","MTBLS39",6.271645922,73160
"1128","epicatechin","MTBLS39",12.70926189,1203
"1129","monogalloyl glucose","MTBLS39",3.526303105,124021
"1130","di-hexose (sucrose)","MTBLS39",2.52103908,5988
"1131","hexose","MTBLS39",2.399425637,439357
"1132","cis-resveratrol-O-glucoside (cis-piceide)","MTBLS39",18.21287235,393787
"1133","putative cis-astringin","MTBLS39",14.49005373,5089891
"1134","trans-astringin","MTBLS39",20.31103792,5089891
"1135","trans-piceide (trans-resveratrol-O-glucoside)   ","MTBLS39",24.88485597,393787
"1136","1-Methyl-adenosine","MTBLS87",11.1,27476
"1137","1-Methyl-guanosine","MTBLS87",7.1,96373
"1138","1,5-Anhydroglucitol","MTBLS87",9.2,64960
"1139","2-Aminoadipate","MTBLS87",12.2,59366488
"1140","2-Oxoglutarate","MTBLS87",12.9,51
"1141","3',5'-cAMP","MTBLS87",7.1,6076
"1142","4-Aminobenzoate","MTBLS87",7.2,978
"1143","6-Phosphogluconate","MTBLS87",15,91493
"1144","Acetyl-carnitine","MTBLS87",8.5,439756
"1145","Acetyl-CoA","MTBLS87",10.5,444493
"1146","Adenine","MTBLS87",6.6,190
"1147","Adenosine","MTBLS87",6.2,60961
"1148","ADP","MTBLS87",12.4,6022
"1149","AICAR","MTBLS87",12.7,65110
"1150","AMP","MTBLS87",11.5,6083
"1151","Arginine","MTBLS87",24.8,59119146
"1152","Arginino-succinate","MTBLS87",14.2,439998
"1153","Asparagine","MTBLS87",12.4,5247114
"1154","Aspartate","MTBLS87",12.5,57397078
"1155","ATP","MTBLS87",13.8,5957
"1156","Betaine","MTBLS87",8.6,247
"1157","Biotin","MTBLS87",6.2,171548
"1158","Butyro-betaine","MTBLS87",10.9,134
"1159","Butyryl-carnitine","MTBLS87",6.2,439829
"1160","Caffeine","MTBLS87",3.8,2519
"1161","Carnitine","MTBLS87",10.9,2724480
"1162","CDP","MTBLS87",14.7,6132
"1163","CDP-choline","MTBLS87",13,13804
"1164","Chenodeoxycholate","MTBLS87",3.9,10133
"1165","cis-Aconitate","MTBLS87",15.5,643757
"1166","Citramalate","MTBLS87",12.6,1081
"1167","Citrate","MTBLS87",15.5,311
"1168","Citrulline","MTBLS87",13,9750
"1169","CMP","MTBLS87",13.2,6131
"1170","CoA","MTBLS87",11.7,87642
"1171","Creatine","MTBLS87",12.1,59098743
"1172","Creatinine","MTBLS87",6.9,588
"1173","CTP","MTBLS87",15.5,6176
"1174","Cytidine","MTBLS87",9.1,6175
"1175","Decanoyl-carnitine","MTBLS87",4.2,10245190
"1176","Deferrichrome","MTBLS87",5.9,6323327
"1177","Dimethyl-arginine","MTBLS87",20,123831
"1178","Dimethyl-guanosine","MTBLS87",6,92919
"1179","Dimethyl-histidine","MTBLS87",9.7,6971285
"1180","Dimethyl-lysine","MTBLS87",19.2,193344
"1181","Dimethyl-proline (stachydrine)","MTBLS87",7.9,115244
"1182","Diphospho-glycerate","MTBLS87",15.6,186004
"1183","Dodecanoyl-carnitine","MTBLS87",3.8,10427569
"1184","Ergothioneine","MTBLS87",12.1,57509571
"1185","FAD","MTBLS87",9.4,643975
"1186","Ferrichrome","MTBLS87",4.7,6323327
"1187","Fructose-1,6-diphosphate","MTBLS87",15.5,10267
"1188","Fructose-6-phosphate","MTBLS87",13.3,440641
"1189","Fumarate","MTBLS87",13.1,444972
"1190","GDP","MTBLS87",15.5,8977
"1191","GDP-glucose","MTBLS87",15.5,16738679
"1192","Gluconate","MTBLS87",11.4,10690
"1193","Glucosamine","MTBLS87",11.6,439213
"1194","Glucose","MTBLS87",12,79025
"1195","Glucose-6-phosphate","MTBLS87",14.2,5958
"1196","Glutamate","MTBLS87",12.1,611
"1197","Glutamate methyl ester","MTBLS87",7.1,5117249
"1198","Glutamine","MTBLS87",12.2,25244553
"1199","Glutarate","MTBLS87",12,23322899
"1200","Glutathione disulfide (GSSG)","MTBLS87",15,65359
"1201","Glyceraldehyde-3-phosphate","MTBLS87",13.2,439168
"1202","Glyceric acid","MTBLS87",10.1,752
"1203","Glycerol-2-phosphate","MTBLS87",12.2,2526
"1204","Glycerophosphocholine","MTBLS87",12.1,58381695
"1205","GMP","MTBLS87",14.1,6804
"1206","GTP","MTBLS87",16.4,6830
"1207","Guanosine","MTBLS87",9.8,6802
"1208","Hexanoyl-carnitine","MTBLS87",4.8,6426853
"1209","Hippurate","MTBLS87",4.4,464
"1210","Histamine","MTBLS87",24.8,774
"1211","Histidine","MTBLS87",12,6274
"1212","Histidinol","MTBLS87",16.3,165271
"1213","HMG-CoA","MTBLS87",13.2,445127
"1214","Hypoxanthine","MTBLS87",7.6,790
"1215","IMP","MTBLS87",13.1,8582
"1216","Indoxyl-sulfate","MTBLS87",4.9,10258
"1217","Inosine","MTBLS87",8.2,6021
"1218","Isoleucine","MTBLS87",8.6,6306
"1219","Isovaleryl-carnitine","MTBLS87",5.4,6426851
"1220","Kynurenine","MTBLS87",8,25245862
"1221","Leucine","MTBLS87",7.6,5255803
"1222","Lysine","MTBLS87",23.3,5962
"1223","Malate","MTBLS87",13.3,525
"1224","Methionine","MTBLS87",8.7,876
"1225","Methyl-histidine","MTBLS87",10.2,352019
"1226","Methyl-lysine","MTBLS87",22.1,541646
"1227","myo-Inositol","MTBLS87",14.4,892
"1228","N-Acetyl-(iso)leucine","MTBLS87",4.4,306109
"1229","N-Acetyl-arginine","MTBLS87",12.3,1615663
"1230","N-Acetyl-aspartate","MTBLS87",12.5,65065
"1231","N-Acetyl-D-glucosamine","MTBLS87",9.3,439174
"1232","N-Acetyl-glutamate","MTBLS87",11.6,70914
"1233","N-Acetyl-ornithine","MTBLS87",11.1,439232
"1234","N2-Acetyl-lysine","MTBLS87",12.7,6992697
"1235","N6-Acetyl-lysine","MTBLS87",10.5,6991978
"1236","NAD+","MTBLS87",11.9,5893
"1237","NADH","MTBLS87",11.1,439153
"1238","NADP+","MTBLS87",14.4,5886
"1239","NADPH","MTBLS87",14.8,5884
"1240","Nicotinamide","MTBLS87",4.7,936
"1241","Octanoyl-carnitine","MTBLS87",4.1,11953814
"1242","Ophthalmic acid","MTBLS87",11.2,9817431
"1243","Ornithine","MTBLS87",20.8,389
"1244","Pantothenate","MTBLS87",6.1,988
"1245","Phenylalanine","MTBLS87",7.3,994
"1246","Phosphocreatine","MTBLS87",12.7,9548602
"1247","Phosphoenolpyruvate","MTBLS87",15.1,638308
"1248","Proline","MTBLS87",10.2,25246272
"1249","Propionyl-carnitine","MTBLS87",7.2,107738
"1250","PRPP (5-Phospho-alpha-D-ribose 1-diphosphate)","MTBLS87",16.5,7339
"1251","Quinic acid","MTBLS87",10.4,1064
"1252","Quinolinic acid","MTBLS87",12.7,1066
"1253","S-adenosyl-cysteine","MTBLS87",10.6,3573837
"1254","S-Adenosyl-homocysteine","MTBLS87",11.2,25246222
"1255","S-Adenosyl-methionine","MTBLS87",14.2,5136
"1256","S-Methyl-ergothioneine","MTBLS87",7.9,NA
"1257","Saccharopine","MTBLS87",13.3,160556
"1258","SAICAR","MTBLS87",17.1,440498
"1259","Sedoheptulose-7-phosphate","MTBLS87",13.7,165007
"1260","Serine","MTBLS87",13.1,617
"1261","Succinate","MTBLS87",12.6,21952380
"1262","Taurine","MTBLS87",12.1,4068592
"1263","Tetradecanoyl-carnitine","MTBLS87",3.8,6426854
"1264","Threonine","MTBLS87",11.7,6288
"1265","Trehalose","MTBLS87",13.6,7427
"1266","Trehalose-6-phosphate","MTBLS87",14.7,122336
"1267","Trimethyl-histidine (hercynine)","MTBLS87",9.7,5459798
"1268","Trimethyl-lysine","MTBLS87",20.7,159659
"1269","Trimethyl-phenylalanine","MTBLS87",5.4,75106893
"1270","Trimethyl-tryptophan (hypaphorine)","MTBLS87",6,3861164
"1271","Tryptophan","MTBLS87",8.7,1148
"1272","Tyrosine","MTBLS87",10.3,4300518
"1273","UDP","MTBLS87",14,6031
"1274","UDP-acetyl-glucosamine","MTBLS87",12.8,445675
"1275","UDP-glucose","MTBLS87",13.9,439156
"1276","UDP-glucuronate","MTBLS87",16.5,17473
"1277","UMP","MTBLS87",12.6,6030
"1278","Uracil","MTBLS87",7.2,1174
"1279","Urate","MTBLS87",10.7,1175
"1280","Uridine","MTBLS87",7.1,6029
"1281","UTP","MTBLS87",15.1,6133
"1282","Valine","MTBLS87",9.8,1182
"1283","lysoPC(14:0)","MTBLS4",6.62,3045266
"1284","lysoPC(16:0)","MTBLS4",6.89,86554
"1285","lysoPC(16:1)","MTBLS4",6.67,25203142
"1286","lysoPC(18:0)","MTBLS4",7.22,2499
"1287","lysoPC(18:1)","MTBLS4",6.93,3082003
"1288","lysoPC(18:2)","MTBLS4",6.72,25200694
"1289","lysoPC(18:3)","MTBLS4",6.59,25200367
"1290","lysoPC(20:3)","MTBLS4",6.8,76042892
"1291","lysoPC(20:4)","MTBLS4",6.69,73222409
"1292","lysoPC(20:5)","MTBLS4",6.55,73087697
"1293","lysoPC(22:6)","MTBLS4",6.65,72732764
"1294","PC(34:1)","MTBLS4",7.23,65167
"1295","PC(34:2)","MTBLS4",6.89,75955377
"1296","PC(34:3)","MTBLS4",7.4,25200618
"1297","PC(34:4)","MTBLS4",6.97,133024520
"1298","PC(36:2)","MTBLS4",7.04,76041273
"1299","PC(36:3)","MTBLS4",7.37,76041471
"1300","PC(36:4)","MTBLS4",7.43,122290
"1301","PC(36:5)","MTBLS4",7.38,133024894
"1302","PC(38:3)","MTBLS4",7.4,75955897
"1303","PC(38:4)","MTBLS4",7.4,133025677
"1304","PC(38:5)","MTBLS4",7.41,133025574
"1305","PC(38:6)","MTBLS4",7.39,74063529
"1306","PC(38:7)","MTBLS4",7.37,133025467
"1307","PC(40:5)","MTBLS4",7.4,133026253
"1308","PC(40:6)","MTBLS4",7.14,133026175
"1309","PC(40:7)","MTBLS4",7.4,75956673
"1310","lysoPC(O-16:0)","MTBLS4",7.08,3983
"1311","LysoPC(O-16:1)","MTBLS4",7.01,NA
"1312","lysoPC(O-18:1)","MTBLS4",7.1,NA
"1313","lysoPE(18:0)","MTBLS4",6.75,45479288
"1314","lysoPE(18:1)","MTBLS4",6.92,25200684
"1315","lysoPE(20:4)","MTBLS4",6.69,74819128
"1316","SM(33:1)","MTBLS4",6.69,75963965
"1317","1-Amino-1-cyclopentanecarboxylic acid","RIKEN",0.32,2901
"1318","4-Hydroxy-3-methoxycinnamaldehyde","RIKEN",1.52,5280536
"1319","(-)-Norepinephrine","RIKEN",0.19,439260
"1320","(-)Shikimic acid","RIKEN",0.25,8742
"1321","(+-)-3-Methyl-2-oxovaleric acid sodium salt","RIKEN",1.21,47
"1322","(+-)-Baclofen","RIKEN",1.24,2284
"1323","(R)-(-)-Phenylephrine hydrochloride","RIKEN",0.59,6041
"1324","1,10-Phenanthroline monohydrate","RIKEN",1.18,1318
"1325","1,1-Dimethylbiguanide hydrochloride","RIKEN",0.21,4091
"1326","1-Aminocyclopropane-1-carboxylic acid","RIKEN",0.18,535
"1327","4-Aminophenol hydrochloride","RIKEN",0.2,403
"1328","Serotonin hydrochloride","RIKEN",1.08,5202
"1329","5-Methylcytosine hydrochloride","RIKEN",0.25,65040
"1330","6-(gamma,gamma-Dimethylallylamino)purine","RIKEN",1.32,92180
"1331","Adenine","RIKEN",0.32,190
"1332","Adenosine","RIKEN",1.06,60961
"1333","Anthranilic acid","RIKEN",1.39,227
"1334","Cadaverine","RIKEN",0.14,273
"1335","Caffeine,Anhydrous","RIKEN",1.24,2519
"1336","Glycine","RIKEN",0.16,750
"1337","L-Histidine","RIKEN",0.15,6274
"1338","L-Leucine, (Cell Culture Reagent, Crystalline)","RIKEN",0.53,6106
"1339","L-Methionine","RIKEN",0.31,6137
"1340","L-(-)-Phenylalanine","RIKEN",1.09,6140
"1341","L-Tryptophane","RIKEN",1.16,6305
"1342","L-Tyrosine","RIKEN",0.61,6057
"1343","D-(+)- Maltose monohydrate","RIKEN",0.17,439186
"1344","Sucrose","RIKEN",0.22,5988
"1345","Uracil","RIKEN",0.31,1174
"1346","L-Kynurenine","RIKEN",1.1,161166
"1347","1,4-Diaminobutane","RIKEN",0.14,1045
"1348","3-(2-Aminoethyl)indole Hydrochloride","RIKEN",1.22,1150
"1349","Calcium (+)-pantothenate","RIKEN",1.11,6613
"1350","2-Hydroxypyridine","RIKEN",0.68,8871
"1351","Chloroacetic acid","RIKEN",0.36,300
"1352","Hexylamine","RIKEN",1.21,8102
"1353","Indole-3-carboxyaldehyde","RIKEN",1.51,10256
"1354","Methylmalonic acid","RIKEN",0.54,487
"1355","Sinapyl alcohol","RIKEN",2.13,5280507
"1356","trans-4-Hydroxy-3-methoxycinnamic acid","RIKEN",1.44,445858
"1357","4-Aminobenzoic acid","RIKEN",1.13,978
"1358","Adenosine-5'-monophosphate sodium salt","RIKEN",0.39,6083
"1359","Histamine","RIKEN",0.14,774
"1360","Leupeptin hemisulfate salt","RIKEN",1.42,439527
"1361","S-(5'-Adenosyl)-L-methionine chloride","RIKEN",0.19,34755
"1362","(-)-Nicotine ( solution 1.0 mg/mL+/-5% in methanol)","RIKEN",0.47,89594
"1363","(S)-(+)-1-Aminoethylphosphonic acid","RIKEN",0.16,181769
"1364","2'-Deoxyadenosine monohydrate","RIKEN",1.07,13730
"1365","2'-Deoxyadenosine-5'-monophosphate","RIKEN",0.62,12599
"1366","2'-Deoxycytidine","RIKEN",0.45,13711
"1367","2'-Deoxyinosine-5'-monophosphate sodium salt","RIKEN",0.7,91531
"1368","2-Deoxyribose-5-phosphate sodium salt","RIKEN",0.18,439288
"1369","2'-Deoxyuridine-5'-monophosphate disodium salt","RIKEN",0.4,65063
"1370","3,4-Dihydroxy-L-phenylalanine","RIKEN",0.4,6047
"1371","Sinapic acid","RIKEN",1.44,637775
"1372","3-Amino-1,2,4-triazole","RIKEN",0.18,1639
"1373","3'-Dephosphocoenzyme A","RIKEN",1.12,439335
"1374","Acetylcholine chloride","RIKEN",0.24,187
"1375","Amantadine hydrochloride","RIKEN",1.28,2130
"1376","Aniline","RIKEN",0.42,6115
"1377","Argininosuccinic acid disodium salt","RIKEN",0.29,439998
"1378","Benzamidine hydrochloride hydrate","RIKEN",0.78,2332
"1379","Betaine aldehyde chloride  ","RIKEN",0.16,249
"1380","Creatinine,anhydrous","RIKEN",0.19,588
"1381","Cytidine,cell culture tested","RIKEN",0.34,6175
"1382","Cytidine-3',5'-cyclicmonophosphate","RIKEN",0.67,19236
"1383","Cytidine-5'-diphosphocholine sodium salt dihydrate, from yeast, solid   ","RIKEN",0.2,13804
"1384","Cytosine","RIKEN",0.19,597
"1385","D-(+)-Glucosamine hydrochloride","RIKEN",0.15,439213
"1386","DL-alpha,epsilon-Diaminopimelic acid","RIKEN",0.15,865
"1387","D-Erythrose-4-phosphate sodium salt","RIKEN",0.16,56845737
"1388","D-Glucose-6-phosphate sodium salt ","RIKEN",0.16,5958
"1389","Diethanolamine","RIKEN",0.16,8113
"1390","DL-2,3-Diaminopropionic acid monohydrochloride","RIKEN",0.15,364
"1391","(+-)-alpha-Lipoic acid","RIKEN",1.74,864
"1392","DL-Isocitric acid trisodium salt","RIKEN",0.24,1198
"1393","D-Mannose-6-phosphate barium salt hydrate","RIKEN",0.17,65127
"1394","D-myo-Inositol-1,4-bis-phosphate potassium salt from bovine brain","RIKEN",2.13,23702136
"1395","Riboflavin-5â€_-monophosphate sodium salt hydrate ","RIKEN",1.19,710
"1396","Fumaric acid","RIKEN",0.42,444972
"1397","Fusaric acid","RIKEN",1.37,3442
"1398","Glutathione (oxidized form)","RIKEN",0.95,65359
"1399","Gly-Gly","RIKEN",0.16,11163
"1400","Guanine","RIKEN",0.32,764
"1401","Guanosine","RIKEN",1.08,6802
"1402","Guanosine-5'-diphosphate-D-mannose sodium salt","RIKEN",0.27,18396
"1403","","RIKEN",0.29,8094
"1404","Hypotaurine","RIKEN",0.16,107812
"1405","Inosine-5'-monophosphate","RIKEN",0.41,8582
"1406","Isoguvacine hydrochloride","RIKEN",0.18,3765
"1407","L-(-)-Malic acid","RIKEN",0.23,222656
"1408","L-Alanine","RIKEN",0.17,5950
"1409","L-Ascorbic acid","RIKEN",1.15,54670067
"1410","L-Asparagine","RIKEN",0.16,6267
"1411","L-Carnitine hydrochloride","RIKEN",0.18,10917
"1412","L-Glutamine","RIKEN",0.17,5961
"1413","L-Glutathione (reduced form)","RIKEN",0.95,124886
"1414","L-Histidinol dihydrochloride","RIKEN",0.14,165271
"1415","L-Homocarnosine","RIKEN",0.16,89235
"1416","L-Isoleucine","RIKEN",0.49,6306
"1417","L-Methionine sulfone","RIKEN",0.18,445282
"1418","L-Norleucine","RIKEN",0.57,21236
"1419","L-Norvaline","RIKEN",0.25,65098
"1420","L-Ornithine monohydrochloride","RIKEN",0.14,6262
"1421","L-Proline","RIKEN",0.19,145742
"1422","L-Pyroglutamic acid","RIKEN",0.41,7405
"1423","L-Serine","RIKEN",0.16,5951
"1424","L-Threonine","RIKEN",0.17,6288
"1425","L-Valine","RIKEN",0.25,6287
"1426","Maltotriose hydrate","RIKEN",0.22,439586
"1427","Mecamylamine hydrochloride","RIKEN",1.35,4032
"1428","Methanesulfonic acid solution","RIKEN",0.17,6395
"1429","Methylguanidine hydrochloride","RIKEN",0.18,10111
"1430","Minoxidil","RIKEN",1.32,4201
"1431","N-Methyl-DL-Alanine","RIKEN",0.18,5288725
"1432","2-Hydroxycinnamic acid, predominantly trans ","RIKEN",1.51,637540
"1433","PIPES","RIKEN",0.16,79723
"1434","3,4-Dihydroxybenzoic acid","RIKEN",1.14,72
"1435","Pyridine-2-aldoxime methochloride","RIKEN",0.25,5353894
"1436","Pyridoxine","RIKEN",0.53,1054
"1437","R-(-)-1-Amino-2-propanol","RIKEN",0.17,439938
"1438","rac-Glycerol 3-phosphoate disodium salt hexahydrate","RIKEN",0.16,439162
"1439","Sarcosine","RIKEN",0.16,1088
"1440","S-Carboxymethyl-L-cysteine","RIKEN",0.2,193653
"1441","Sebacic acid","RIKEN",1.58,5192
"1442","Spermidine","RIKEN",0.14,1102
"1443","Spermine","RIKEN",0.14,1103
"1444","Succinic acid","RIKEN",0.49,1110
"1445","Taurine","RIKEN",0.16,1123
"1446","Thiamine hydrochloride","RIKEN",0.19,1130
"1447","Thiamine monophosphate chloride dihydrate","RIKEN",0.19,1131
"1448","Thymidine","RIKEN",1.11,5789
"1449","trans-4-Hydroxy-L-proline","RIKEN",0.17,5810
"1450","trans-Zeatin-riboside","RIKEN",1.16,6440982
"1451","Tyramine","RIKEN",0.67,5610
"1452","Uridine","RIKEN",0.66,6029
"1453","Uridine-5'-monophosphate","RIKEN",0.26,6030
"1454","Xanthosine-5â€_-monophosphate disodium salt ","RIKEN",0.48,73323
"1455","alpha-D-Galactose-1-phosphate dipotassium salt pentahydrate ","RIKEN",0.16,123912
"1456","alpha-Methyl-DL-serine","RIKEN",0.17,439656
"1457","beta-Alanine","RIKEN",0.16,239
"1458","beta-Nicotinamide mononucleotide","RIKEN",0.24,14180
"1459","Sodium phenylpyruvate","RIKEN",1.36,997
"1460","gamma-Amino-n-butyric acid","RIKEN",0.17,119
"1461","delta-Aminolevulinic acid hydrochloride","RIKEN",0.18,137
"1462","6-Aminohexanoic acid","RIKEN",0.41,564
"1463","Daidzein","RIKEN",1.57,5281708
"1464","Eriodictyol","RIKEN",1.59,440735
"1465","Isorhamnetin","RIKEN",1.7,5281654
"1466","Malvidin Chloride","RIKEN",2.15,159287
"1467","Pelargonin chloride ","RIKEN",1.14,441772
"1468","sinigrin ","RIKEN",0.38,6911854
"1469","eriodictyol-7-O-glucoside","RIKEN",1.41,5319853
"1470","isorhamnetin-3-O-glucoside","RIKEN",1.45,5318645
"1471","kaempferol-3-O-rutinoside","RIKEN",1.42,5318767
"1472","luteolin-7-O-glucoside","RIKEN",1.41,5280637
"1473","Callistephin Chloride","RIKEN",1.25,443648
"1474","Hyperoside","RIKEN",1.4,5281643
"1475","Quercetin-3-O-glucose-6''-acetate","RIKEN",1.46,10006384
"1476","Quercitrin","RIKEN",1.46,5280459
"1477","Daidzin","RIKEN",1.34,107971
"1478","Glycyrrhizin","RIKEN",1.7,14982
"1479","Capsaicin","RIKEN",1.93,1548943
"1480","Dihydrocapsaicin","RIKEN",2,107982
"1481","Caffeic acid","RIKEN",1.3,689043
"1482","trans-Cinnamic acid","RIKEN",1.64,444539
"1483","4-Coumaric acid","RIKEN",1.41,637542
"1484","(+)-Catechin hydrate","RIKEN",1.24,9064
"1485","(+)-Epicatechin","RIKEN",1.31,182232
"1486","(-)-Epicatechin","RIKEN",1.3,72276
"1487","3,4-dihydroxyphenylacetic acid","RIKEN",1.16,547
"1488","(S)-(+)-2-(anilinomethyl)pyrrolidine","RIKEN",1.27,6950385
"1489","3-cyanopyridine","RIKEN",1.18,79
"1490","urocanic acid","RIKEN",0.38,736715
"1491","N-acetylneuraminic acid,Type IV-S,Synthetic","RIKEN",0.18,439197
"1492","N-acetyl-D-mannosamine","RIKEN",0.18,439281
"1493","O-acetyl-L-serine hydrochloride","RIKEN",0.19,99478
"1494","2'-deoxyguanosine 5'-monophosphate sodium salt hydrate","RIKEN",0.72,65059
"1495","4-methylumbelliferyl acetate","RIKEN",1.69,366
"1496","pyridoxal-5'-phosphate hydrate ","RIKEN",0.39,1051
"1497","pyridoxal hydrochrolide","RIKEN",0.38,1050
"1498","2-nitropropane","RIKEN",0.3,398
"1499","N-acetyl putrescine hydrochloride","RIKEN",0.23,122356
"1500","D-(+)-FucoseÂ ","RIKEN",0.21,19466
"1501","D-(+)-TuranoseÂ ","RIKEN",0.18,16220012
"1502","IsomaltoseÂ ","RIKEN",0.19,439193
"1503","LactuloseÂ ","RIKEN",0.19,11333
"1504","XylitolÂ ","RIKEN",0.17,6912
"1505","Xylobiose","RIKEN",0.18,439538
"1506","Homogentisic acid","RIKEN",1.1,780
"1507","3-Hydroxyanthranilic acid","RIKEN",1.13,86
"1508","(+-)-Jasmonic acid","RIKEN",1.68,5281166
"1509","D-Gluconic acid sodium salt","RIKEN",0.17,10690
"1510","UDP-xylose","RIKEN",0.21,23724459
"1511","L-beta-homomethionine-HCl","RIKEN",0.66,5706673
"1512","L-beta-homoproline-HCl","RIKEN",0.25,2761541
"1513","L-beta-homoserine [(R)-3-Amino-4-hydroxy-butyric acid (+)]","RIKEN",0.16,1502076
"1514","L-beta-homovaline-HCl","RIKEN",0.55,2761558
"1515","L-beta-homothreonine","RIKEN",0.19,5706676
"1516","DL-Thioctamide","RIKEN",1.57,863
"1517","L-Homoserine","RIKEN",0.17,12647
"1518","D-(-)-Quinic acid","RIKEN",0.19,6508
"1519","Tropinone","RIKEN",0.24,79038
"1520","N,N-Dimethylaniline","RIKEN",1.11,949
"1521","4-Methyl-5-thiazoleethanol","RIKEN",1.08,1136
"1522","L(+)-Arginine","RIKEN",0.16,6322
"1523","Agmatine sulfate salt","RIKEN",0.15,199
"1524","N1-Acetylspermine Trihydrochloride","RIKEN",0.14,916
"1525","5-Aminoimidazole-4-carboxamide-1-beta-D-ribofuranosyl 5'-monophosphate","RIKEN",0.32,65110
"1526","D-Ala-D-ala","RIKEN",0.19,5460362
"1527","L(+)-Cystathionine","RIKEN",0.16,439258
"1528","Carbamoyl-DL-aspartic Acid","RIKEN",0.12,279
"1529","Cytidine-3'-monophosphate","RIKEN",0.36,66535
"1530","5'-Deoxy-5'-Methylthioadenosine","RIKEN",1.14,439176
"1531","DL-Dihydrozeatin","RIKEN",1.11,439631
"1532","sn-Glycero-3-phosphocholine 1:1 cadmium chloride adduct ","RIKEN",0.17,439285
"1533","2-Isopropylmalic acid ","RIKEN",1.21,5280523
"1534","S-Lactoylglutathione","RIKEN",1.06,440018
"1535","Scoulerin","RIKEN",1.37,439654
"1536","(+-)-Taxifolin","RIKEN",1.45,439533
"1537","cis-Zeatin","RIKEN",1.13,688597
"1538","Methyl Jasmonate","RIKEN",1.93,5281929
"1539","4-Nitrophenyl phosphate disodium salt hexahydrate","RIKEN",0.92,378
"1540","Cytidine-5'-monophosphate monohydrate","RIKEN",0.24,6131
"1541","DL-Glyceraldehyde","RIKEN",0.17,751
"1542","Guanosine-5'-monophosphate","RIKEN",0.44,6804
"1543","L-(+)-Lysine","RIKEN",0.15,5962
"1544","UDP-Galactose disodium salt ã€€","RIKEN",0.2,23724458
"1545","trans-Zeatin","RIKEN",1.11,449093
"1546","D-Cysteine","RIKEN",0.15,92851
"1547","4-Hydroxypyridine","RIKEN",0.25,12290
"1548","gamma-Glu-Cys","RIKEN",0.55,123938
"1549","5-Aminovaleric acid","RIKEN",0.23,138
"1550","2-Methoxycinnamic acid","RIKEN",1.68,734154
"1551","3,4-Dimethoxycinnamic acid","RIKEN",1.57,717531
"1552","DL-beta-Aminobutyric acid","RIKEN",0.18,10932
"1553","3-Hydroxypyridine","RIKEN",0.24,7971
"1554","3-Methoxycinnamic acid","RIKEN",1.67,637668
"1555","4-Methoxycinnamic acid","RIKEN",1.65,699414
"1556","Aminooxyacetic acid Hemihydrochloride","RIKEN",0.17,286
"1557","(-)-Citramalic acid","RIKEN",0.51,439766
"1558","D-Pinitol","RIKEN",0.17,164619
"1559","Itaconic acid","RIKEN",1.09,811
"1560","D-(+)-Melezitose hydrate","RIKEN",0.21,92817
"1561","Suberic acid","RIKEN",1.4,10457
"1562","DL-Threitol","RIKEN",0.17,8998
"1563","2,2',2''-Nitrilotriethanol","RIKEN",0.17,7618
